repo,average_avg_lines_added_to_files,average_code_churn_avg,average_code_churn_max,average_code_churn_total,average_contributor_experience,average_contributors,average_dmm_method_cyclomatic_complexity,average_dmm_method_lines_of_code,average_dmm_method_number_of_parameters,average_files_modified_per_commit,average_history_complexity,average_hunks,average_lines_added_per_commit,average_lines_added_to_files,average_lines_deleted_from_files,average_lines_deleted_per_commit,average_minor_contributors,change_set_avg,change_set_max,developer_count,developers,files_modified,lines_added,lines_deleted,repo_url,total_commits
FAST-R,6124.731481481482,5637.962962962963,5701.962962962963,3272.6388888888887,98.9667469879518,1.072289156626506,0.5486922648859209,0.6005843071786311,0.6715358931552587,2.7704918032786887,0.6865060240963853,0.9444444444444444,10963.245901639344,6192.203703703704,2919.564814814815,5169.065573770492,0.0,3,50,3,"['ICSE19-FAST-R', 'icse18-FAST', 'icse19-FAST-R']",169,668758,315313,https://github.com/ICSE19-FAST-R/FAST-R,61
FIRA-ICSE,768.9520547945206,768.9383561643835,769.1369863013699,769.1369863013699,100.0,1.0,0.3102803738317757,0.2299065420560747,0.5009345794392523,29.6,1.331632653061225,0.339041095890411,22459.2,769.1506849315068,0.0136986301369863,0.4,0.0,30,144,2,"['ICSE-FIRA', 'Van']",148,112296,2,https://github.com/DJjjjhao/FIRA-ICSE,5
FRMiner,735.5882352941177,731.1323529411765,752.0882352941177,738.1176470588235,99.98758620689657,1.0344827586206895,0.5668595302599195,0.500461057437047,0.3633937336727732,3.5405405405405403,0.6274137931034481,0.8823529411764706,1396.2162162162165,759.7058823529412,21.58823529411765,39.67567567567568,0.0344827586206896,4,47,1,['FRMiner'],131,51660,1468,https://github.com/FRMiner/FRMiner,37
FairNeuron,3037.5238095238096,2874.4126984126983,3378.253968253968,2917.1428571428573,96.4422222222222,1.3555555555555556,0.9295640106064365,0.5034892086853064,0.838740477187335,4.071428571428571,1.331111111111111,0.7777777777777778,7688.035714285715,3416.904761904762,499.7619047619048,1124.4642857142858,0.1555555555555555,4,38,3,"['Xuanqi Gao', 'Antimony5292', 'Gao Xuanqi']",114,215265,31485,https://github.com/Antimony5292/FairNeuron,28
Fairify,1325.3032490974729,1319.519855595668,1325.725631768953,378.02166064981947,99.60784,1.012,0.7359249329758714,0.5880250223413762,0.3190348525469169,34.76923076923077,0.2010799999999999,0.9097472924187726,28253.0,1325.9530685920577,947.9314079422384,20198.23076923077,0.0,35,191,1,['Sumon Biswas'],452,367289,262577,https://github.com/sumonbis/Fairify,13
Fairness-testing,3450.516634050881,3424.9021526418787,9271.767123287673,6003.223091976517,99.99131147540984,1.00327868852459,0.6775610037116979,0.48153970998762,0.6810250568841013,17.857142857142858,0.1129180327868852,0.6252446183953033,61899.454545454544,9327.315068493152,3324.091976516634,22059.88311688312,0.0032786885245901,18,368,1,['Verya Monjezi'],1375,4766258,1698611,https://github.com/armanunix/Fairness-testing,77
FeatCause,96.05,95.35,128.0,141.5,99.97166666666664,1.0833333333333333,0.3095404848060387,0.2681218629625306,0.4615773705303295,4.111111111111111,7.179166666666667,1.425,318.6666666666667,143.4,1.9,4.222222222222222,0.0833333333333333,4,14,1,['Clemens Dubslaff'],37,2868,38,https://github.com/dubslaff/FeatCause,9
FedDebug,125.91014492753624,121.8927536231884,144.42898550724638,130.6,99.97026755852843,1.0066889632107023,0.737572934836991,0.6552726006024494,0.6066992151612988,9.931818181818182,0.2687625418060199,0.9507246376811594,1267.8181818181818,161.6927536231884,31.092753623188404,243.79545454545453,0.0033444816053511,10,336,3,"['Muhammad Ali Gulzar', 'Waris Gill', 'hadiamjad']",437,55784,10727,https://github.com/seed-vt/FedDebug,44
HistFuzz,20.695299289820763,20.639161312140683,21.26344267839026,21.22962461954684,100.0,1.0,0.5227107971532132,0.350353358265284,0.8857659104597471,165.66666666666666,0.0224205128205131,1.0027054447074737,3507.611111111112,21.3517078119716,0.1220831924247548,20.05555555555556,0.0,166,2955,1,['Merlin'],2982,63137,361,https://github.com/CGCL-codes/HistFuzz,18
ICSE-SAMOTA,128.74458874458875,128.72727272727272,129.04761904761904,129.1125541125541,99.89786516853933,1.0056179775280898,0.6379402579338089,0.3643761725539384,0.4711460229622722,12.473684210526317,0.5171910112359552,0.7705627705627706,1570.2105263157894,129.15151515151516,0.0389610389610389,0.4736842105263157,0.0,12,100,2,"['SnowBird', 'dependabot[bot]']",237,29834,9,https://github.com/MingfeiCheng/ICSE-SAMOTA,19
